BinStart BinEnd POD TAP191 TF14 TF160 TF162 TF185 TF186 TF23 TF29 TF39 TF5HS TF5 TF7 TF9
113001 114000 0 0 0 0 0 1 0 0 0 0 0 0 0 0
114001 115000 1 0 0 0 0 0 0 0 0 0 0 0 0 0
115001 116000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
116001 117000 0 0 0 0 0 0 0 0 0 0 0 0 0 1
117001 118000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
118001 119000 1 1 1 0 1 1 1 0 1 1 0 1 1 0
119001 120000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
120001 121000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
121001 122000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
122001 123000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
123001 124000 0 0 1 0 0 0 0 0 0 0 0 0 0 1
124001 125000 1 0 1 1 0 0 0 0 0 0 0 0 0 0
125001 126000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
126001 127000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
127001 128000 1 0 0 0 0 0 0 0 0 0 0 0 0 0
128001 129000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
129001 130000 0 1 0 0 0 0 0 0 0 0 0 0 0 1
130001 131000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
131001 132000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
132001 133000 1 0 0 0 0 0 0 0 0 0 0 0 0 0
133001 134000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
134001 135000 0 0 0 0 0 0 0 0 0 0 0 0 0 1
135001 136000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
136001 137000 0 0 0 0 0 0 0 0 0 0 0 0 0 1
137001 138000 0 1 1 0 0 0 0 0 0 0 0 0 0 0
138001 139000 1 0 0 0 0 0 0 0 0 0 0 0 0 0
139001 140000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
140001 141000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
141001 142000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
142001 143000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
143001 144000 0 0 0 0 0 1 0 0 0 0 0 0 0 0
144001 145000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
145001 146000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
146001 147000 0 1 1 0 0 1 0 0 0 0 0 0 0 0
147001 148000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
148001 149000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
149001 150000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
150001 151000 1 1 1 1 1 0 1 0 1 1 1 0 1 0
151001 152000 0 1 0 0 0 0 0 0 0 0 0 0 0 1
152001 153000 0 1 1 0 0 0 0 0 0 0 0 0 0 0
153001 154000 1 0 0 0 0 0 0 0 0 0 0 0 0 0
154001 155000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
155001 156000 0 0 0 0 0 0 0 0 0 0 0 0 0 1
156001 157000 0 1 1 0 0 0 0 0 0 0 0 0 0 0
157001 158000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
158001 159000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
159001 160000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
160001 161000 1 0 0 0 0 0 0 0 0 0 0 0 0 0
161001 162000 0 0 0 0 0 0 0 0 0 0 0 0 0 1
162001 163000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
163001 164000 0 0 0 0 0 0 0 0 0 0 0 0 0 1
164001 165000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
165001 166000 1 0 0 0 0 0 0 0 0 0 0 0 0 0
166001 167000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
167001 168000 0 1 1 0 0 0 0 0 0 0 0 0 0 0
168001 169000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
169001 170000 0 1 0 0 0 0 0 0 0 0 0 0 0 1
170001 171000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
171001 172000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
172001 173000 1 1 1 1 1 0 1 0 1 1 0 1 0 0
173001 174000 0 0 0 0 0 0 0 0 0 0 0 0 0 1
174001 175000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
175001 176000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
176001 177000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
177001 178000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
178001 179000 0 0 0 0 0 1 0 0 0 0 0 0 0 1
179001 180000 0 0 0 0 0 0 0 0 0 0 0 0 0 1
180001 181000 1 1 1 1 0 0 0 0 0 0 0 0 0 0
181001 182000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
182001 183000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
183001 184000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
184001 185000 0 0 0 1 0 0 0 0 0 0 0 0 0 0
185001 186000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
186001 187000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
187001 188000 1 0 0 0 0 0 0 0 0 0 0 0 0 0
188001 189000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
189001 190000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
190001 191000 1 0 0 0 0 0 0 0 0 0 0 0 0 1
191001 192000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
192001 193000 0 1 1 0 0 1 0 0 0 0 0 0 0 0
193001 194000 1 0 0 1 0 0 0 0 0 1 0 0 0 0
194001 195000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
195001 196000 1 1 1 0 1 1 1 0 1 1 1 0 1 0
196001 197000 0 1 0 0 0 0 0 0 0 0 0 0 0 0
197001 198000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
198001 199000 1 0 0 0 0 0 0 0 0 0 0 0 0 0
199001 2e+05 0 0 0 0 0 0 0 0 0 0 0 0 0 0
200001 201000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
201001 202000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
202001 203000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
203001 204000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
204001 205000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
205001 206000 1 1 1 1 0 0 0 0 0 1 0 0 1 0
206001 207000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
207001 208000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
208001 209000 1 0 0 0 0 0 0 0 0 0 0 0 0 1
209001 210000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
210001 211000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
211001 212000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
212001 213000 1 0 0 0 0 0 0 0 0 0 0 0 0 0
213001 214000 0 1 0 0 0 0 0 0 0 0 0 0 0 1
214001 215000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
215001 216000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
216001 217000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
217001 218000 1 1 1 1 0 0 0 0 1 0 0 0 1 0
218001 219000 1 0 0 0 0 0 0 0 0 0 0 0 0 0
219001 220000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
220001 221000 1 0 0 0 0 0 0 0 0 0 0 0 0 0
221001 222000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
222001 223000 1 0 0 0 0 0 0 0 0 0 0 0 0 0
223001 224000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
224001 225000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
225001 226000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
226001 227000 1 0 1 0 0 0 0 0 0 0 0 0 0 0
227001 228000 0 0 0 0 0 0 0 0 0 0 0 0 0 1
228001 229000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
229001 230000 1 1 1 1 1 0 0 0 1 1 0 0 1 1
230001 231000 0 1 0 0 0 0 0 0 0 0 0 0 0 0
231001 232000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
232001 233000 1 1 1 1 0 0 0 0 0 0 0 0 0 0
233001 234000 0 1 0 0 0 0 0 0 0 0 0 0 0 1
234001 235000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
235001 236000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
236001 237000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
237001 238000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
238001 239000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
239001 240000 1 1 1 0 0 0 0 0 0 0 0 0 0 1
240001 241000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
241001 242000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
242001 243000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
243001 244000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
244001 245000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
245001 246000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
246001 247000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
247001 248000 0 0 0 0 0 0 0 0 0 0 0 0 0 1
248001 249000 1 0 0 0 0 0 0 0 0 0 0 0 0 0
249001 250000 0 1 1 1 0 0 0 0 1 0 0 0 1 0
250001 251000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
251001 252000 0 0 0 0 0 0 0 0 0 0 0 0 0 1
252001 253000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
253001 254000 1 1 1 1 1 1 1 0 1 1 0 0 1 0
254001 255000 0 0 0 1 0 0 0 0 0 0 0 0 0 0
255001 256000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
256001 257000 0 0 0 0 0 0 0 0 0 0 0 0 0 1
257001 258000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
258001 259000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
259001 260000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
260001 261000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
261001 262000 1 1 1 1 1 0 0 0 1 1 1 0 1 0
262001 263000 0 1 0 0 0 0 0 0 0 0 0 0 0 0
263001 264000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
264001 265000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
265001 266000 1 1 1 1 0 0 0 0 1 1 1 0 0 0
266001 267000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
267001 268000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
268001 269000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
269001 270000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
270001 271000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
271001 272000 0 0 1 0 0 0 0 0 0 0 0 0 0 0
272001 273000 1 1 0 1 0 0 0 0 1 1 0 0 0 0
273001 274000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
274001 275000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
275001 276000 0 1 1 0 0 0 0 0 0 0 0 0 0 0
276001 277000 1 1 1 1 1 0 0 0 1 1 0 0 1 0
277001 278000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
278001 279000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
279001 280000 0 0 1 0 0 0 0 0 0 0 0 0 0 0
280001 281000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
281001 282000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
282001 283000 0 1 1 1 0 0 0 0 0 0 0 0 0 0
283001 284000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
284001 285000 1 1 0 0 0 0 0 0 0 0 0 0 0 0
285001 286000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
286001 287000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
287001 288000 0 1 1 0 0 0 0 0 0 0 0 0 0 0
288001 289000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
289001 290000 1 0 0 0 0 0 0 0 0 0 0 0 0 0
290001 291000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
291001 292000 1 1 1 1 0 0 0 0 0 0 0 0 0 0
292001 293000 1 0 0 0 0 0 0 0 0 0 0 0 0 1
293001 294000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
294001 295000 1 1 1 0 0 0 0 0 0 0 0 0 0 0
295001 296000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
296001 297000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
297001 298000 1 1 1 1 0 0 0 0 1 0 0 0 0 0
298001 299000 0 1 0 0 0 0 0 0 0 1 0 0 0 0
299001 3e+05 0 0 0 0 0 0 0 0 0 0 0 0 0 0
300001 301000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
301001 302000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
302001 303000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
303001 304000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
304001 305000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
305001 306000 1 1 1 1 0 0 0 0 0 0 0 0 0 0
306001 307000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
307001 308000 0 1 1 0 0 0 0 0 0 0 0 0 1 0
308001 309000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
309001 310000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
310001 311000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
311001 312000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
312001 313000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
313001 314000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
314001 315000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
315001 316000 0 1 1 0 0 0 0 0 0 0 0 0 0 0
316001 317000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
317001 318000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
318001 319000 0 1 1 0 0 0 0 0 0 0 0 0 0 0
319001 320000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
320001 321000 1 0 0 0 0 0 0 0 0 0 0 0 0 0
321001 322000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
322001 323000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
323001 324000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
324001 325000 0 0 0 0 0 0 0 0 0 0 0 0 0 1
325001 326000 0 1 0 0 0 0 0 0 0 0 0 0 0 0
326001 327000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
327001 328000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
328001 329000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
329001 330000 0 0 0 0 0 0 0 0 0 0 0 0 0 1
330001 331000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
331001 332000 0 1 1 0 0 0 0 0 0 0 0 0 0 0
332001 333000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
333001 334000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
334001 335000 0 0 0 0 0 0 0 0 0 0 0 0 0 1
335001 336000 1 1 1 1 0 0 0 0 0 0 0 0 0 0
336001 337000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
337001 338000 0 1 0 0 0 0 0 0 0 0 0 0 0 1
338001 339000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
339001 340000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
340001 341000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
341001 342000 1 0 0 0 0 0 0 0 0 0 0 0 0 0
342001 343000 1 0 0 0 0 0 0 0 0 0 0 0 0 0
343001 344000 0 1 1 0 0 0 0 0 0 0 0 0 0 0
344001 345000 1 1 1 1 1 1 1 0 0 0 0 0 0 0
345001 346000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
346001 347000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
347001 348000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
348001 349000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
349001 350000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
350001 351000 0 1 1 1 0 0 0 0 0 0 0 0 0 0
351001 352000 0 1 1 0 0 0 0 0 0 0 0 0 0 0
352001 353000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
353001 354000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
354001 355000 0 0 0 0 0 0 0 0 0 0 0 0 0 1
355001 356000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
356001 357000 0 0 0 0 0 0 0 0 0 0 0 0 0 1
357001 358000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
358001 359000 1 1 1 1 1 0 1 1 1 1 1 1 1 0
359001 360000 0 1 1 0 0 0 0 0 0 0 0 0 0 0
360001 361000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
361001 362000 0 1 0 1 0 0 0 0 0 0 0 0 0 0
362001 363000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
363001 364000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
364001 365000 0 1 1 1 1 0 0 0 1 0 0 0 1 0
365001 366000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
366001 367000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
367001 368000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
368001 369000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
369001 370000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
370001 371000 0 1 1 0 0 0 0 0 0 0 0 0 0 0
371001 372000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
372001 373000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
373001 374000 1 1 1 1 1 0 1 1 1 1 1 0 1 1
374001 375000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
375001 376000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
376001 377000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
377001 378000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
378001 379000 0 1 1 0 0 0 0 0 1 0 0 0 1 0
379001 380000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
380001 381000 1 1 0 0 0 0 0 0 0 0 0 0 0 0
381001 382000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
382001 383000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
383001 384000 0 0 0 0 0 0 0 0 0 0 0 0 0 1
384001 385000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
385001 386000 0 1 1 1 1 0 0 0 1 1 0 0 0 0
386001 387000 0 1 0 1 1 0 0 0 1 1 1 0 0 0
387001 388000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
388001 389000 0 1 1 0 0 0 0 0 0 0 0 0 0 0
389001 390000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
390001 391000 0 1 1 0 0 0 0 0 0 0 1 1 0 0
391001 392000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
392001 393000 1 1 1 1 1 0 0 1 1 1 1 0 0 0
393001 394000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
394001 395000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
395001 396000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
396001 397000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
397001 398000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
398001 399000 0 0 1 0 0 0 0 0 0 0 0 0 0 0
399001 4e+05 0 1 0 0 0 0 0 0 0 0 0 0 0 0
400001 401000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
401001 402000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
402001 403000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
403001 404000 0 0 0 0 0 0 0 1 0 0 0 0 0 0
404001 405000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
405001 406000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
406001 407000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
